Block,Stimuli_Type,Stimuli,One_subsubj_two_subObj,correct_answer,Block_raw,One_subsubj_two_subObj_raw,Stimuli_Type_raw,Stimuli_raw,correct_answer_raw,early_accuracy_raw,early_is_correct?_raw,early_mouse_key_resp_raw,early_resp_raw,early_rt_raw,thisN_raw,thisRepN_raw,thisTrialN_raw,valid_accuracy_raw,valid_is_correct?_raw,valid_mouse_key_resp_raw,valid_res_raw,valid_rt_raw
7,LiterallyTrue,The dry plant was a tumbleweed.,no_change,True,7,no_change,LiterallyTrue,The dry plant was a tumbleweed.,True,1,yes,left,True,0.8662450999981957,0,0,0,0,no,right,False,0.7460865000030026
7,LiterallyTrue,The sharp rod was a lance.,no_change,True,7,no_change,LiterallyTrue,The sharp rod was a lance.,True,0,no,,,,1,0,1,0,no,right,False,0.8008006000018213
7,LiterallyTrue,His gait was a mild limp.,no_change,True,7,no_change,LiterallyTrue,His gait was a mild limp.,True,0,no,right,False,1.8985613000113517,2,0,2,0,no,right,False,0.49681140000757296

extraInfo
participant_id,369730
tf_mapping,TrueFalse
date,2026-01-09_12h57.47.650
expName,SentenceDecisionTask
expVersion,v2
psychopyVersion,2025.1.1
frameRate,None
expStart,2026-01-09 12h58.02.503205 -0700
﻿Block,Stimuli_Type,Stimuli,One_subsubj_two_subObj,correct_answer,Block_raw,One_subsubj_two_subObj_raw,Stimuli_Type_raw,Stimuli_raw,correct_answer_raw,early_accuracy_raw,early_is_correct?_raw,early_mouse_key_resp_raw,early_resp_raw,early_rt_raw,thisN_raw,thisRepN_raw,thisTrialN_raw,valid_accuracy_raw,valid_is_correct?_raw,valid_mouse_key_resp_raw,valid_res_raw,valid_rt_raw
6,LiterallyTrue,The solemn song was an anthem.,no_change,True,6,no_change,LiterallyTrue,The shout was only an echo.,True,0,no,,,,0,0,0,1,yes,left,True,0.9505917000060435
6,LiterallyTrue,The shout was only an echo.,no_change,True,6,no_change,LiterallyTrue,The solemn song was an anthem.,True,1,yes,left,True,1.2553853999997955,1,0,1,1,yes,left,True,0.5537965999974404

extraInfo
participant_id,369730
tf_mapping,TrueFalse
date,2026-01-09_12h57.47.650
expName,SentenceDecisionTask
expVersion,v2
psychopyVersion,2025.1.1
frameRate,None
expStart,2026-01-09 12h58.02.503205 -0700
﻿Block,Stimuli_Type,Stimuli,One_subsubj_two_subObj,correct_answer,Block_raw,One_subsubj_two_subObj_raw,Stimuli_Type_raw,Stimuli_raw,correct_answer_raw,early_accuracy_raw,early_is_correct?_raw,early_mouse_key_resp_raw,early_resp_raw,early_rt_raw,thisN_raw,thisRepN_raw,thisTrialN_raw,valid_accuracy_raw,valid_is_correct?_raw,valid_mouse_key_resp_raw,valid_res_raw,valid_rt_raw
8,Metaphors,His arrival was a shrill siren.,no_change,False,8,no_change,Metaphors,His arrival was a shrill siren.,False,0,no,left,True,1.9275434000010137,0,0,0,1,yes,right,False,0.5536524999915855
8,Metaphors,The banker's opinion was a seesaw.,no_change,False,8,no_change,Metaphors,The banker's opinion was a seesaw.,False,0,no,left,True,0.7474182000005385,1,0,1,1,yes,right,False,0.0009634999878471717
8,Metaphors,The summer romance was a merry-go-round.,no_change,False,8,no_change,Metaphors,The summer romance was a merry-go-round.,False,0,no,left,True,0.60493509999651,2,0,2,1,yes,right,False,0.0011251999967498705

extraInfo
participant_id,369730
tf_mapping,TrueFalse
date,2026-01-09_12h57.47.650
expName,SentenceDecisionTask
expVersion,v2
psychopyVersion,2025.1.1
frameRate,None
expStart,2026-01-09 12h58.02.503205 -0700
﻿Block,Stimuli_Type,Stimuli,One_subsubj_two_subObj,correct_answer,Block_raw,One_subsubj_two_subObj_raw,Stimuli_Type_raw,Stimuli_raw,correct_answer_raw,early_accuracy_raw,early_is_correct?_raw,early_mouse_key_resp_raw,early_resp_raw,early_rt_raw,thisN_raw,thisRepN_raw,thisTrialN_raw,valid_accuracy_raw,valid_is_correct?_raw,valid_mouse_key_resp_raw,valid_res_raw,valid_rt_raw
9,Metaphors,His arrival was a shrill siren.,no_change,False,9,no_change,Metaphors,The banker's opinion was a seesaw.,False,0,no,left,True,1.2148330999916652,0,0,0,1,yes,right,False,0.4189330999943195
9,Metaphors,The banker's opinion was a seesaw.,no_change,False,9,no_change,Metaphors,The summer romance was a merry-go-round.,False,0,no,left,True,1.335519000000204,1,0,1,1,yes,right,False,0.3957903999980772
9,Metaphors,The summer romance was a merry-go-round.,no_change,False,9,no_change,Metaphors,His arrival was a shrill siren.,False,1,yes,right,False,2.0401665000099456,2,0,2,0,no,left,True,0.5263335000054212

extraInfo
participant_id,369730
tf_mapping,TrueFalse
date,2026-01-09_12h57.47.650
expName,SentenceDecisionTask
expVersion,v2
psychopyVersion,2025.1.1
frameRate,None
expStart,2026-01-09 12h58.02.503205 -0700
